Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
CGE	0.007631905137910262	0.160739243344212	0.020146110695381997	21.061483396297163	2.639722367002366	1.4240320116609704e-12	7.387307221220355e-07	1.4669514025994187e-07	5.035822732866367
LGE	0.010289777541582099	0.18511836568743942	0.023418500733614265	17.990511936662983	2.275899613862164	1.3589993608693369e-11	5.384841461974165e-07	1.3861356073212434e-07	3.884786909399552
MGE	0.014468327383986906	0.22136654213725793	0.025053624770565074	15.300078320197503	1.731618597343439	1.8620421724722176e-13	4.6950426918684296e-07	1.0885697920580838e-07	4.3130378282791
