Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
CGE	0.007631905137910262	0.11456632517900105	0.02428051935393043	15.01149753682226	3.181449312481736	1.252556678910059e-05	1.0539261557633354e-07	5.446901390783973e-08	1.934909557104436
LGE	0.010289777541582099	0.14665064430844033	0.028711398111649522	14.252071409300083	2.790283657311703	1.4713518135029747e-06	8.177219671872414e-08	4.919394322817047e-08	1.6622411490668638
MGE	0.014468327383986906	0.1963917616264557	0.028916588616221775	13.573909161318534	1.99861309802996	3.0130496964236303e-10	9.254815928230291e-08	4.6877468878677874e-08	1.974256748414125
