CGE_vs_dlEN_ziffra_macs2peaks	0.012224468429713082	0.1871047785091949	0.021728778342479497	15.305759885183523	1.7774824702941696	1.3339297486632246e-13	3.2055810175615536e-07	1.0564088886907117e-07	3.0344131442650726
CGE_vs_earlyEN_ziffra_macs2peaks	0.012224468429713082	0.18786049827991416	0.021990320782206797	15.367580141423247	1.798877465195673	1.7097898161374075e-13	3.6387828517691027e-07	1.0572928279187564e-07	3.441603646297231
CGE_vs_ulEN_ziffra_macs2peaks	0.012224468429713082	0.18572831606923906	0.02187450482533286	15.193160924511321	1.789403355336431	2.543410225359474e-13	3.183924047421831e-07	1.047467125929362e-07	3.0396410241485183
CGE_vs_union_neurons	0.012224468429713082	0.194070678503977	0.02236766943554177	15.875592433308938	1.8297457729265663	8.34107834691218e-14	3.9757108161132605e-07	1.1205197328171961e-07	3.5480953165524185
LGE_vs_dlEN_ziffra_macs2peaks	0.013713440624549688	0.20072926452435325	0.023104268006868843	14.637410845314003	1.6847900274937402	2.7613159009057177e-13	3.0246946221264814e-07	1.1580155047871035e-07	2.6119638378093732
LGE_vs_earlyEN_ziffra_macs2peaks	0.013713440624549688	0.20302778292756016	0.023482516108892078	14.805021473903603	1.7123723179180774	2.731933954031117e-13	3.8411615512526495e-07	1.1825216835072971e-07	3.2482800145025386
LGE_vs_ulEN_ziffra_macs2peaks	0.013713440624549688	0.1993659003877565	0.023425074769237057	14.537992750765502	1.7081836287898224	6.08931224496327e-13	3.2166563792448887e-07	1.1792124517735994e-07	2.727800554011165
LGE_vs_union_neurons	0.013713440624549688	0.2061483376377529	0.02390292842770678	15.03257594368461	1.7430292719476945	3.159626690537805e-13	3.850595786747714e-07	1.1892966024526501e-07	3.2377085571477693
MGE_vs_dlEN_ziffra_macs2peaks	0.017842671198671264	0.23540139349536965	0.02529873184904414	13.193169950522872	1.417878050172674	2.260359910965501e-14	2.8170987933321433e-07	1.0033222460475224e-07	2.8077706882607196
MGE_vs_earlyEN_ziffra_macs2peaks	0.017842671198671264	0.23339010721917686	0.02543144398409571	13.080446566574478	1.4253159575114278	4.150815759949145e-14	3.085287113760388e-07	9.948107277567994e-08	3.1013810242249877
MGE_vs_ulEN_ziffra_macs2peaks	0.017842671198671264	0.23168667543527277	0.025454736516676426	12.984977016923697	1.4266213972811441	6.675321296915977e-14	2.675073765955313e-07	9.879805619017048e-08	2.7076178106239492
MGE_vs_union_neurons	0.017842671198671264	0.23887540656580325	0.026385517076309522	13.387872471897156	1.4787873846083337	8.834937116182726e-14	2.7635598058439656e-07	1.1917065496531949e-07	2.318993553109366
progenitor_vs_dlEN_ziffra_macs2peaks	0.01590814806315349	0.1580339329269237	0.021529918795281537	9.93415024172188	1.3533893895009195	3.836399752315679e-10	-8.698638585233294e-08	1.049832316838985e-07	-0.8285740918535109
progenitor_vs_earlyEN_ziffra_macs2peaks	0.01590814806315349	0.15510352695237406	0.021474966920274795	9.749942377744485	1.349935066924301	7.124107257139708e-10	-6.982054166059958e-08	1.0296102833332294e-07	-0.6781259160948224
progenitor_vs_ulEN_ziffra_macs2peaks	0.01590814806315349	0.1556842904057528	0.02160275930289	9.786449672690017	1.3579682070552506	7.369117426484256e-10	-9.3726024222865e-08	1.0459708181887938e-07	-0.8960672955021944
